,Name,Price,rating
0,Samsung Galaxy M12 ,"11,499",4.1
1,Samsung Galaxy M12 ,"13,499",4.1
2,Samsung Galaxy M12 ,"11,499",4.1
3,Samsung Galaxy M21 2021 Edition ,"12,999",4.2
4,Samsung Galaxy M32 5G ,"22,999",4.2
5,Samsung Galaxy M32 5G ,"20,999",4.2
6,Samsung Galaxy M32 5G ,"20,999",4.2
7,Samsung Galaxy M21 2021 Edition ,"12,999",4.2
8,Samsung Galaxy M52 5G ,"24,999",4.2
9,Samsung Galaxy M12 ,"13,499",4.1
10,Samsung Galaxy S20 FE 5G ,"39,990",4.4
11,Samsung Galaxy M52 5G ,"24,999",4.2
12,Samsung Galaxy A12 ,"15,499",3.9
13,Samsung Galaxy A52 ,"26,490",4.3
14,Samsung Galaxy M32 5G ,"22,999",4.2
15,Samsung Level U2 ,"2,199",3.8
16,Samsung Galaxy A22 5G ,"19,999",3.9
17,Samsung Galaxy M12 ,"11,499",4.1
18,Samsung Galaxy M12 ,"13,499",4.1
19,Samsung Galaxy M52 5G ,"26,999",4.2
20,Samsung Galaxy F42 5G ,"18,380",1.0
21,Samsung Galaxy M52 5G ,"26,999",4.2
